gene_name,localization
DAPI,Membrane_bound
TOMM20,Membrane_bound
mitotracker,Membrane_bound
GM130,Membrane_bound
Calreticulin,Membrane_bound
Phalloidin,Membrane_bound
SQSTM1,Membrane_bound
LAMP1,Membrane_bound
ANXA11,Membrane_bound
PEX14,Membrane_bound
CLTC,Membrane_bound
CD41,Membrane_bound
NCL,Membraneless
NONO,Membraneless
TDP43,Membraneless
FUS,Membraneless
PML,Membraneless
DCP1A,Membraneless
FMRP,Membraneless
PURA,Membraneless
NEMO,Membraneless
KIF5A,Membraneless
G3BP1,Membraneless
TIA1,Membraneless
PSD95,Membraneless
SNCA,Membraneless
