gene_name,localization
DAPI_WT,Control
TOMM20_WT,Control
mitotracker_WT,Control
GM130_WT,Control
Calreticulin_WT,Control
Phalloidin_WT,Control
SQSTM1_WT,Control
LAMP1_WT,Control
ANXA11_WT,Control
PEX14_WT,Control
CLTC_WT,Control
CD41_WT,Control
NCL_WT,Control
NONO_WT,Control
TDP43_WT,Control
FUS_WT,Control
PML_WT,Control
DCP1A_WT,Control
FMRP_WT,Control
PURA_WT,Control
NEMO_WT,Control
KIF5A_WT,Control
G3BP1_WT,Control
TIA1_WT,Control
PSD95_WT,Control
SNCA_WT,Control
DAPI_TDP43,Case
TOMM20_TDP43,Case
mitotracker_TDP43,Case
GM130_TDP43,Case
Calreticulin_TDP43,Case
Phalloidin_TDP43,Case
SQSTM1_TDP43,Case
LAMP1_TDP43,Case
ANXA11_TDP43,Case
PEX14_TDP43,Case
CLTC_TDP43,Case
CD41_TDP43,Case
NCL_TDP43,Case
NONO_TDP43,Case
TDP43_TDP43,Case
FUS_TDP43,Case
PML_TDP43,Case
DCP1A_TDP43,Case
FMRP_TDP43,Case
PURA_TDP43,Case
NEMO_TDP43,Case
KIF5A_TDP43,Case
G3BP1_TDP43,Case
TIA1_TDP43,Case
PSD95_TDP43,Case
SNCA_TDP43,Case
DAPI_FUS,Case
TOMM20_FUS,Case
mitotracker_FUS,Case
GM130_FUS,Case
Calreticulin_FUS,Case
Phalloidin_FUS,Case
SQSTM1_FUS,Case
LAMP1_FUS,Case
ANXA11_FUS,Case
PEX14_FUS,Case
CLTC_FUS,Case
CD41_FUS,Case
NCL_FUS,Case
NONO_FUS,Case
TDP43_FUS,Case
FUS_FUS,Case
PML_FUS,Case
DCP1A_FUS,Case
FMRP_FUS,Case
PURA_FUS,Case
NEMO_FUS,Case
KIF5A_FUS,Case
G3BP1_FUS,Case
TIA1_FUS,Case
PSD95_FUS,Case
SNCA_FUS,Case
DAPI_OPTN,Case
TOMM20_OPTN,Case
mitotracker_OPTN,Case
GM130_OPTN,Case
Calreticulin_OPTN,Case
Phalloidin_OPTN,Case
SQSTM1_OPTN,Case
LAMP1_OPTN,Case
ANXA11_OPTN,Case
PEX14_OPTN,Case
CLTC_OPTN,Case
CD41_OPTN,Case
NCL_OPTN,Case
NONO_OPTN,Case
TDP43_OPTN,Case
FUS_OPTN,Case
PML_OPTN,Case
DCP1A_OPTN,Case
FMRP_OPTN,Case
PURA_OPTN,Case
NEMO_OPTN,Case
KIF5A_OPTN,Case
G3BP1_OPTN,Case
TIA1_OPTN,Case
PSD95_OPTN,Case
SNCA_OPTN,Case
DAPI_TBK1,Case
TOMM20_TBK1,Case
mitotracker_TBK1,Case
GM130_TBK1,Case
Calreticulin_TBK1,Case
Phalloidin_TBK1,Case
SQSTM1_TBK1,Case
LAMP1_TBK1,Case
ANXA11_TBK1,Case
PEX14_TBK1,Case
CLTC_TBK1,Case
CD41_TBK1,Case
NCL_TBK1,Case
NONO_TBK1,Case
TDP43_TBK1,Case
FUS_TBK1,Case
PML_TBK1,Case
DCP1A_TBK1,Case
FMRP_TBK1,Case
PURA_TBK1,Case
NEMO_TBK1,Case
KIF5A_TBK1,Case
G3BP1_TBK1,Case
TIA1_TBK1,Case
PSD95_TBK1,Case
SNCA_TBK1,Case
