,Lower_bound,Upper_bound
ANXA11,252.41,4702.41
DAPI,252.89,2463.63
SNCA,479.03,10471.88
GM130,282.97,3394.07
KIF5A,300.68,5877.45
NONO,310.06,2150.85
VDAC1,1345.54,13114.83
AGO2,705.62,25234.76
TDP43,138.45,3047.02
DCP1A,842.8,3936.47
NEMO,262.86,18375.09
FUS,157.0,6414.53
NCL,156.77,745.98
FMRP,168.67,3547.48
Phalloidin,633.6,8631.91
SQSTM1,321.94,3243.01
PEX14,2975.69,9928.27
PML,556.06,3185.07
mitotracker,807.01,6406.42
Calreticulin,539.84,19592.55
LAMP1,469.34,3577.65
CLTC,807.95,5298.22
PSD95,1028.37,13679.81
HNRNPA1,142.45,9741.32
PSPC1,306.52,18763.95
Tubulin,1284.06,21381.1
G3BP1,204.01,2521.5
PURA,182.09,2106.08
TOMM20,314.95,5947.33
