,Lower_bound,Upper_bound
DAPI,1439.63,9827.47
NCL,1093.23,9724.26
NEMO,6006.34,29346.06
Phalloidin,2202.35,19987.69
ANXA11,9467.74,45655.65
Nup153,2451.44,22547.94
SCNA,2126.27,24532.03
EEA1,2605.14,10127.1
hnRNPA1,1691.67,10275.84
LaminB1,1651.42,10418.37
Nup62,2703.25,16520.54
POM121,2999.65,12997.65
Nup98,2102.42,15313.53
TIA1,6489.25,25947.52
TOMM20,4438.46,16178.32
Lamp1,2644.06,10431.8
PSD95,2077.87,24060.89
SQSTM1,0,1000000
G3BP1,2396.69,12539.72
KIF5A,2618.76,21153.74
PURA,832.38,9573.53
Calnexin,2389.11,31541.08
hnRNPA2B1,1716.65,14171.27
Calreticulin,4432.78,25945.02
GM130,1200.16,4775.64
CD41,1845.42,10601.17
FMRP,3803.34,15466.09
FUS,1508.95,9010.24
CLTC,3571.91,16550.6
NONO,2416.5,15845.06
DCP1A,2331.23,7453.66
Map2,1448.39,8930.67
TDP43,2480.4,23764.25
