,Lower_bound,Upper_bound
ANAX11,1552.89,12113.94
DAPI,529.5,5354.34
SNCA,1875.86,9472.52
TUJ1,1782.1,27764.19
DCP1A,3896.86,7863.99
NEMO,5666.81,22154.77
CLTC,3116.53,14330.12
PSD95,3041.0,19141.46
CD41,1043.58,12823.04
P54,1912.99,6289.01
TDP43,2150.63,6611.21
GM130,4225.93,16057.22
Phalloidin,5188.91,16308.54
TOMM20,4328.87,12848.71
Calreticulin,4148.94,11226.41
LAMP1,1975.09,7493.34
FMRP,1576.6,14209.38
SQSTM1,4203.71,26472.39
G3BP1,1448.33,8868.45
KIF5A,2952.11,18337.85
PEX14,4003.4,12897.11
PML,2554.35,8457.52
PURA,1780.4,10980.85
TIA1,2116.42,12463.34
FUS,940.53,15839.43
MitoTracker,2036.7,12746.3
NCL,454.87,1740.62
