,Lower_bound,Upper_bound
Autophagy,195.76,5004.94
DAPI,170.98,1751.01
impaired_Autophagosome,499.06,13214.88
UPR_ATF4,234.47,5406.28
UPR_ATF6,255.79,630.02
UPR_IRE1a,470.21,8322.9
Ubiquitin_levels,605.87,9499.51
DNA_damage_P53BP1,144.13,34606.75
Neuronal_activity,646.67,817.9
Necroptosis_HMGB1,108.21,21021.3
Necrosis,599.8,8558.5
DNA_damage_pH2Ax,893.69,10323.76
Parthanatos_early,82.87,3203.51
Cytoskeleton,1342.1,17754.61
Stress_initiation,121.48,27902.34
mature_Autophagosome,451.22,6150.88
Nuclear_speckles_SON,314.95,14198.39
TDP-43,215.1,4931.0
Nuclear_speckles_SC35,295.66,6484.05
Splicing_factories,111.23,10805.18
Aberrant_splicing,233.25,19744.2
Parthanatos_late,913.26,6992.52
Protein_degradation,518.42,6261.8
Senescence_signaling,1244.49,9746.36
Apoptosis,284.13,13789.41
Necroptosis_pMLKL,1865.25,8371.97
