,Lower_bound,Upper_bound
Autophagy,222.36,5255.08
DAPI,176.72,1754.27
impaired-Autophagosome,506.44,18506.37
UPR-ATF4,475.03,6226.53
UPR-ATF6,254.46,12740.01
UPR-IRE1a,500.31,7289.88
Ubiquitin-levels,661.91,8203.24
DNA-damage-P53BP1,141.6,26387.46
Neuronal-activity,720.54,8882.09
Necroptosis-HMGB1,116.38,14553.35
Necrosis,636.23,7107.17
DNA-damage-pH2Ax,880.46,11278.07
Parthanatos-early,76.89,3000.88
Cytoskeleton,1467.44,16539.29
Stress-initiation,121.48,15675.83
mature-Autophagosome,480.98,6383.47
Nuclear-speckles-SON,281.61,4041.04
TDP-43,322.61,4675.54
Nuclear-speckles-SC35,258.82,2543.98
Splicing-factories,111.23,5836.77
Aberrant-splicing,242.6,19755.72
Parthanatos-late,914.3,7237.04
Protein-degradation,549.87,5324.7
Senescence-signaling,1349.5,8807.32
Apoptosis,252.85,13142.16
Necroptosis-pMLKL,1408.56,7690.68
