,Lower_bound,Upper_bound
Autophagy,77.11,3643.55
DAPI,162.43,1984.34
impaired_Autophagosome,466.9,7129.52
UPR_ATF4,230.42,3558.27
UPR_ATF6,213.64,9053.7
UPR_IRE1a,263.48,11484.03
Ubiquitin_levels,210.67,9956.22
DNA_damage_P53BP1,150.02,2652.31
Neuronal_activity,546.47,13455.45
Necroptosis_HMGB1,123.12,2471.23
Necrosis,254.5,10482.71
DNA_damage_pH2Ax,410.64,6598.32
Parthanatos_early,137.2,5700.18
Cytoskeleton,888.14,10840.65
Stress_initiation,220.82,16393.83
mature_Autophagosome,438.1,8414.47
Nuclear_speckles_SON,179.19,4282.81
TDP-43,218.89,3811.66
Nuclear_speckles_SC35,257.07,2255.27
Splicing_factories,98.85,6509.52
Aberrant_splicing,191.74,18579.07
Parthanatos_late,374.91,7383.43
Protein_degradation,606.13,6506.79
Senescence_signaling,791.78,9301.37
Apoptosis,327.34,7732.09
Necroptosis_pMLKL,464.63,7275.48
