,Lower_bound,Upper_bound
DAPI,211.34,85441.04
HNRNPA1,538.95,2923.99
LSM14A,1261.45,3655.98
Calreticulin,1171.75,12610.98
GM130,712.66,6938.76
CD41,238.51,17184.32
NONO,460.49,2422.0
SON,540.34,2510.95
DCP1A,1270.25,4660.83
NEMO,3564.5,32757.81
FUS,457.49,7091.09
NCL,321.41,1660.71
KIF5A,395.39,4648.82
SQSTM1,2534.12,13312.23
Tubulin,5976.52,13189.78
TIA1,1557.32,8059.2
TOMM20,731.65,2936.42
mitotracker,671.9,4239.92
PML,826.39,2010.51
TDP43,310.53,1766.33
CLTC,618.46,3865.63
PSD95,1028.59,7012.2
Phalloidin,1157.62,4543.83
ANXA11,1202.64,4750.8
LAMP1,909.43,2454.05
FMRP,1111.48,3440.82
G3BP1,345.38,2597.36
PURA,599.54,2004.88
PEX14,2176.93,7429.26
SNCA,785.49,6955.07
