,Lower_bound,Upper_bound
DAPI,126.15,3231.48
HNRNPA1,68.67,5927.29
LSM14A,855.69,4288.39
Calreticulin,270.2,14367.33
GM130,581.29,42283.95
PEX14,531.85,11196.06
SNCA,289.15,10984.21
CD41,1088.49,22600.97
NONO,171.58,3283.61
SON,343.43,5198.09
DCP1A,307.17,12214.8
NEMO,151.18,25972.02
FUS,112.47,69771.48
NCL,211.41,4075.75
KIF5A,178.28,5245.06
SQSTM1,218.52,14324.64
Tubulin,90.24,15814.33
TIA1,203.88,10285.58
TOMM20,89.95,46049.03
mitotracker,143.83,30027.14
PML,231.18,19173.6
TDP43,80.0,3461.82
CLTC,303.3,18124.96
PSD95,208.55,12727.38
Phalloidin,198.42,32537.09
ANXA11,87.96,44877.63
LAMP1,98.28,37447.48
FMRP,162.47,4586.72
G3BP1,191.03,4813.1
PURA,329.56,3012.72
