,Site_brenner_lower_bound,Site_brenner_upper_bound
CLTC,882.96,9554.1
DAPI,189.94,2743.42
PSD95,2195.85,27559.11
FMRP,662.11,3569.73
Phalloidin,649.92,8077.1
SQSTM1,1272.77,4256.61
AGO2,1074.52,27323.56
CD41,1844.58,11841.97
TDP43,246.22,2031.93
HNRNPA1,103.35,1401.92
PSPC1,309.15,17951.15
Tubulin,1349.32,17870.51
Calreticulin,763.81,20616.85
LAMP1,577.36,3689.61
ANXA11,644.14,4667.91
SNCA,1885.75,15510.62
G3BP1,182.53,2728.04
PURA,382.52,1937.79
TOMM20,649.94,12803.26
FUS,73.09,6457.08
NCL,57.33,3286.15
GM130,331.45,1779.56
KIF5A,146.02,4854.87
DCP1A,838.21,3079.78
NEMO,3275.7,26233.62
PEX14,966.85,7630.64
PML,379.24,1701.68
mitotracker,666.58,2879.41
NONO,70.07,1261.09
VDAC1,933.36,6573.64
