,Site_brenner_lower_bound,Site_brenner_upper_bound
CLTC,500.0,8441.09
DAPI,190.0,2600.0
PSD95,300.0,19824.18
FMRP,101.71,3700.0
Phalloidin,350.0,8631.92
SQSTM1,145.6,5682.47
AGO2,175.46,25234.76
CD41,200.0,13688.33
TDP43,138.45,18686.3
HNRNPA1,100.0,2648.64
PSPC1,200.0,21752.25
Tubulin,350.0,21381.1
Calreticulin,493.75,19592.54
LAMP1,250.0,3577.65
ANXA11,252.41,8000.0
SNCA,300.0,14151.12
G3BP1,204.01,11209.89
PURA,132.0,2400.0
TOMM20,234.19,15214.77
FUS,74.5,10000.0
NCL,90.0,700.0
GM130,350.0,8651.28
KIF5A,250.0,7734.42
DCP1A,799.91,11211.18
NEMO,250.0,23404.8
PEX14,417.57,13323.6
PML,300.0,7000.0
mitotracker,450.0,7111.11
NONO,143.03,15335.19
VDAC1,320.0,14705.49
